Country,Job_Title,Highest_Salary
Afghanistan,"Country Director",41000
Africa,"Communications Specialist",90000
Argentina,"Full Stack Developer",114000
Australia,"Senior Software Engineer And Market Analysr",192000
Australia,"Project Manager",190000
Australia,"Country Head Of Market Access",190000
Australia,"Principal Consultant",186000
Australia,"Business Development Director",185000
Australia,"Senior Compliance Manager",180000
Australia,TAM,180000
Australia,"Faculty Manager",178000
Australia,"Software Engineering Manager",175000
Australia,"Engineering Manager",175000
Australia,"Financial Controller",172000
Australia,"Technical Underwriter",172000
Australia,"Systems Analyst",168200
Australia,Teacher,168000
Australia,"ESOL Teacher",167000
Australia,"Senior Developer",167000
Australia,"Senior Cost Recovery Officer",166400
Australia,"Deputy CEO (Chief Executive Officer)",165000
Australia,"Senior Associate",162800
Australia,"Program Manager",162000
Australia,Manager,160000
Australia,"Veterinary Specialist",160000
Australia,"Digital Lead",160000
Australia,"Private Instrumental Tutor",156000
Australia,"Associate Professor",155200
Australia,"Project Quality Manager",155000
Australia,"Lead Developer",155000
Australia,"Senior Manager",155000
Australia,"Senior Executive - Deputy",152000
Australia,Director,151000
Australia,"Learning Leader",150000
Australia,"Strategy Director",150000
Australia,"Public Servant",149000
Australia,"Crm Manager",145000
Australia,"Lead Consultant",145000
Australia,"Software Test Lead",145000
Australia,"Solution Architect",145000
Australia,Geophysicist,142100
Australia,"Senior Support Engineer",142000
Australia,"Senior Product Designer",140000
Australia,"Senior Manager Digital Transformation",140000
Australia,"Museum Executive",140000
Australia,"Architect, Quality Engineering",140000
Australia,"Head Of Digital",140000
Australia,Executive,140000
Australia,Geologist,138000
Australia,"Software Team Lead",137000
Australia,"Actuarial Manager",136000
Australia,"Senior Environmental Advisor",135000
Australia,"Customer Success Manager",135000
Australia,"Security Engineer",135000
Australia,"Senior Software Developer",135000
Australia,"Doctor (Psychiatry Registrar)",134800
Australia,"Director Of Communications",134000
Australia,"Project Engineer",133000
Australia,"Departmental Manager",132000
Australia,"Content Manager",131000
Australia,"Risk Consultant",131000
Australia,"Technical Operations Manager",130000
Australia,"Distribution Partner Account Manager",130000
Australia,"Policy Specialist",130000
Australia,Unknown,130000
Australia,"People And Culture Manager",130000
Australia,"Associate Director",130000
Australia,"Manager Of Developer Relations",130000
Australia,"Site Reliability Engineer",130000
Australia,"Business Design Consultant",128000
Australia,"Senior HR  Advisor",125000
Australia,"Quality Management System Manager",123000
Australia,"Senior Engineer",122000
Australia,"Executive Assistant",120910
Australia,"Business Analyst",120365
Australia,"Software Engineer",120000
Australia,"Clinical Research Associate",120000
Australia,"Cloud Engineer",120000
Australia,"Senior Executive Assistant",120000
Australia,"Content Producer",120000
Australia,"Assistant Professor",120000
Australia,"Executive Officer",120000
Australia,"Research Fellow",120000
Australia,"Event Manager",120000
Australia,"Supervising Producer",120000
Australia,"Group HR  Manager",120000
Australia,"Development Coordinator",119000
Australia,"Assistant Director",119000
Australia,"Head Of Literacy",118000
Australia,"Team Leader",118000
Australia,Lecturer,116584
Australia,"Finance & HR  Manager",116000
Australia,"Graduate Process Engineer",115000
Australia,"Software Developer",115000
Australia,"Communications Consultant",115000
Australia,"Apac Digital Marketing Specialist",115000
Australia,"Senior Analyst",114000
Australia,"Regulatory Compliance Advisor",114000
Australia,"Supply Change Business Analyst",112818
Australia,"Senior Finance Analyst",112000
Australia,Economist,112000
Australia,"Project Officer",111000
Australia,"Ict Project Manager",110000
Australia,"Assistant Director Communication",110000
Australia,"Laboratory Technician",110000
Australia,"Director of Global Partnerships",110000
Australia,"Senior Environmental Scientist",110000
Australia,"Learning/Instructional Designer",110000
Australia,"Customer Experience Specialist",110000
Australia,"Data Scientist",107000
Australia,"Product Manager",107000
Australia,"Senior Designer",106000
Australia,"Applications Specialist",106000
Australia,"Clinical Nurse Consultant",106000
Australia,"Research Scientist",105000
Australia,"Classroom Teacher/ Grade Coordinator",105000
Australia,"High School Teacher",105000
Australia,"Paid Media Lead",105000
Australia,Physiotherapist,105000
Australia,"Senior Project Engineer",105000
Australia,"Senior Solicitor",104500
Australia,Coordinator,104000
Australia,"Human Factors Engineer",103000
Australia,"Operations Manager",103000
Australia,"Senior Planner",103000
Australia,"Philanthropy Manager",102500
Australia,"Training Manager",102300
Australia,"National Business Coordinator",102000
Australia,"Senior Policy Advisor",102000
Australia,"Senior Project Advisor",101500
Australia,"Senior Legal Policy Advisor",101000
Australia,"Senior Student Recruitment Officer",101000
Australia,"Compliance & Finance Manager",100521
Australia,"Associate Head: School Of Sciences",100400
Australia,"Training Specialist",100000
Australia,"Pursuits Specialist",100000
Australia,"Data Analyst",100000
Australia,"Bid Writer",100000
Australia,"Registered Nurse",98500
Australia,"Research Librarian",98000
Australia,"Sustainability Officer",98000
Australia,Associate,98000
Australia,"Senior Project Officer",98000
Australia,"Pharmacist Manager",98000
Australia,"Contact Tracer",97365
Australia,"Chartered Accountant (Manager)",97000
Australia,"Senior Associate, Registered Architect",96000
Australia,"Government Worker",94500
Australia,"Site Engineer (Grad)",94000
Australia,"Digital Operations Officer",93536
Australia,"Team Lead",91794
Australia,"Senior Research Officer",91400
Australia,Librarian,91000
Australia,"Technology Team Leader",91000
Australia,"Clinical Trainer",90938
Australia,Consultant,90000
Australia,"Implementation Manager",90000
Australia,Compositor,90000
Australia,"Field Marketing Specialist",90000
Australia,Architect,90000
Australia,"Occupational Hygienist",90000
Australia,"Communication Officer",90000
Australia,"Laser Office Manager",90000
Australia,"Manager Records Administration",90000
Australia,"Registered Psychologist",90000
Australia,"Senior Executive Support Officer",89000
Australia,"Security Specialist",89000
Australia,"Senior Event Officer",89000
Australia,"Collection Management Librarian",88586
Australia,"Exam Development",88000
Australia,"Research Coordinator",87197
Australia,"Operations Coordinator And Ea",87000
Australia,"Electronic Engineer",86700
Australia,"Postdoctoral Researcher",86158
Australia,"Liaison Officer",86000
Australia,"Marketing Advisor",86000
Australia,"Office Admin Manager",85800
Australia,"Business Operations Manager",85000
Australia,"EA/Office Manager",85000
Australia,"Accounts Manager",85000
Australia,"Program Officer",85000
Australia,"Program Development Officer",85000
Australia,"Risk & Compliance Consultant",85000
Australia,"Personal Assistant",84000
Australia,"Project Administrator",83200
Australia,"Operational Services",83000
Australia,"EA to CEO",83000
Australia,"Senior Library Learning Advisor",82570
Australia,"Brand Manager",82500
Australia,"Legal Secretary",82000
Australia,Engineer,82000
Australia,"Instructional Designer",82000
Australia,"Senior Officer",81000
Australia,"Senior Claims Executive",81000
Australia,"Web Developer",80800
Australia,"Digital Marketing Specialist",80000
Australia,"Personal Assistant To Director Of Clinical Services",80000
Australia,"Business Development Manager",80000
Australia,"Customer Service Manager",80000
Australia,"Office Manager",80000
Australia,"Speech Pathologist",79000
Australia,"Secondary Teacher",78531
Australia,Caseworker,78000
Australia,"Executive  Assistant",78000
Australia,"Marketing Coordinator",78000
Australia,Accountant,78000
Australia,"Research Assistant",78000
Australia,"Project Support Officer",77100
Australia,"Campaign Analyst",77000
Australia,"Child Protection Worker",76405
Australia,Journalist,76000
Australia,Editor,75712
Australia,"Workforce Optimisation Analyst",75619
Australia,"Administrative Assistant",75000
Australia,"HR  Manager",75000
Australia,"Student Engagement Officer",75000
Australia,Payroll,75000
Australia,"EA (Executive Assistant)",75000
Australia,Paralegal/Ea,75000
Australia,"Senior Tax Accountant",75000
Australia,"Research Officer",75000
Australia,"Engineering Geologist",75000
Australia,"Brand And Campaigns Officer",74400
Australia,"Digital Editor",74000
Australia,"Secondary School Teacher",73629
Australia,"Human Resources Officer",72800
Australia,"Assessment Officer",72399
Australia,"Communications Officer",72000
Australia,"Case Worker",72000
Australia,"Digital Marketing",71000
Australia,"Senior School Officer",70720
Australia,"Environmental Data Manager",70000
Australia,"Executive Assistant To The Director",70000
Australia,"Fraud Analyst",70000
Australia,Solicitor,70000
Australia,"Technical Project Manager",70000
Australia,"Intake Officer",70000
Australia,"Graphic Designer",70000
Australia,Veterinarian,70000
Australia,"Administrative Support Officer",69522
Australia,"Senior Research Assistant",69000
Australia,"Governance And Administration Officer",68816
Australia,"Sales Coordinator",68500
Australia,"Events Officer",68000
Australia,"Assistant Bank Manager",68000
Australia,"Assistant Project Manager",67000
Australia,"Student Services",67000
Australia,"Risk Compliance Officer",67000
Australia,Agronomist,66851
Australia,"Education Manager",66000
Australia,"Contract Administrator",65000
Australia,"Software Developer (Junior)",65000
Australia,"Project Officer - Palliative Care",65000
Australia,"Head Of Production",65000
Australia,"Front End Web Developer",65000
Australia,"Events And Fundraising Coordinator",65000
Australia,"Tech Consultant",65000
Australia,Service/Administration,62400
Australia,Producer,62000
Australia,"Support Services Officer Level 1",61577
Australia,"Community Rehabilitation and Support Worker",61529
Australia,"Assistant Buyer",61500
Australia,"Learning And Development Adviser",61000
Australia,"Visitor Services And Volunteer Coordinator",61000
Australia,"Merchandiser & SEO Coordinator",60000
Australia,"Early Childhood Teacher",60000
Australia,"Early Childhood Educator",60000
Australia,"Sales Analyst",60000
Australia,"Credit Officer",60000
Australia,"Property Manager",60000
Australia,"Trade Specialist",60000
Australia,"Digital Content Producer",58000
Australia,"Office Administrator",58000
Australia,"Exhibitions Coordinator",57000
Australia,"Senior Investigator",56000
Australia,"Media Coordinator",55200
Australia,"Member Services",55000
Australia,"Admin  Assistant",55000
Australia,"Project Lead",55000
Australia,Receptionist,55000
Australia,"Technical Officer",55000
Australia,"Client Services Officer",55000
Australia,"Department Coordinator",55000
Australia,"Admin/Assistant/Broker Support",53040
Australia,"Events & Marketing Manager",52000
Australia,"Learning Support Assistant",52000
Australia,"Field Coordinator",51600
Australia,"Supporter Operations",51500
Australia,"Assistant Winemaker",50768
Australia,"Office/Payroll Officer",50600
Australia,"Business Development Officer",50000
Australia,"Music Therapist",46347
Australia,"Platform Executive",45000
Australia,"Real Estate Agent",43352
Australia,"Department Assistant Manager",43000
Australia,"Support Coordinator",42000
Australia,"Bakery Assistant",32000
Australia,"Library Assistant",24752
Australia,"Private Tutor",2400
Austria,"DevOps Lead",120000
Austria,"Engineering Manager",105000
Austria,"Software Engineer",70000
Austria,"Manager, Team Lead",61600
Austria,"Product Development Manager",60200
Austria,"Application Manager",58000
Austria,"Programme Manager",57000
Austria,"Research Associate",53200
Austria,"Senior Software Engineer",52500
Austria,"Purchasing Agent",50000
Austria,"Legal Advisor",47000
Austria,"Head Of Marketing",46000
Austria,"High School Teacher",40000
Austria,Associate,33600
Austria,"IT Admin",30000
Austria,"Cashier (Aldi)",28000
Bangladesh,Diplomat,70000
Belgium,Compliance,180000
Belgium,"General Counsel",170000
Belgium,Director,155000
Belgium,"Legal Counsel",100000
Belgium,Translator,100000
Belgium,"Chief Marketing Officer",90000
Belgium,"Product Development Manager",87500
Belgium,Manager,85000
Belgium,"Senior Project Manager",80000
Belgium,"IT Category Manager",73000
Belgium,"Test Expert",70000
Belgium,"Associate Professor",66000
Belgium,"Project Management Support",65000
Belgium,"Data Visualization Consultant",63560
Belgium,"Customer Support Engineer",63000
Belgium,"Advisor To A Minister",61200
Belgium,Teacher,60000
Belgium,"HR  Data Analyst",55680
Belgium,"Policy Officer",52800
Belgium,Attaché,50600
Belgium,"Software Developer",50000
Belgium,"Senior Data Specialist",45500
Belgium,"Marketing And Communications Manager",44000
Belgium,"Law And Policy Advisor",40000
Belgium,"System Engineer",40000
Belgium,"Content Manager",40000
Belgium,"Content Marketing Manager",39000
Belgium,"Research Technician",38000
Belgium,"Content Marketer",33500
Belgium,"Office Manager",32400
Belgium,"Junior Advocacy Advisor",25100
Belgium,"Programs Coordinator",24000
Belgium,"Project Manager",23010
Belgium,"Customer Service/Tech Support Agent",2400
Bermuda,"Office Manager And Executive Assistant",132500
Bermuda,"PR Manager",85000
"Bosnia And Herzegovina","Marketing Automation Analyst",6500
Brazil,"Software Architect",182000
Brazil,"Subsea Engineer",156000
Brazil,"Software Engineer",140000
Brazil,"Staff Software Engineer",135200
Brazil,"Freelance Linguist",48000
Brazil,"Art Director For Games",48000
Brazil,Manager,30238
Brazil,"Front End Engineer",102
Britain,"Class Teacher",39000
Bulgaria,"SAP Consultant",55000
Bulgaria,"Linux Devops Engineer",25500
Burma,IT,1700
Cambodia,"Volunteer And Partnerships Program Manager",24000
Canada,"Solutions Architect",190000
Canada,"Associate Consultant",190000
Canada,Associate,190000
Canada,"Senior Legal Counsel",185000
Canada,"Vice President, Analytics",184000
Canada,"Senior Engineering Manager",180000
Canada,Director,180000
Canada,"Senior Software Development Manager",180000
Canada,Lawyer,175000
Canada,"Head Of Engineering",175000
Canada,"Executive Search Consultant",175000
Canada,"Associate Director of Science & Medicine",174000
Canada,"Vice President",170000
Canada,"HR  Director",170000
Canada,"Enterprise Architect",170000
Canada,"Senior Data Scientist",170000
Canada,"Staff Product Designer",170000
Canada,"President & Co-Founder",170000
Canada,"Senior Software Engineer",169000
Canada,"Director of HR",165450
Canada,"Director of IT",165000
Canada,"Engineering Manager",165000
Canada,"CTO (Chief Technology Officer)",165000
Canada,"CEO (Chief Executive Officer)",165000
Canada,"Senior Project Engineer",165000
Canada,"Senior Sales Engineer",165000
Canada,"Senior Engineering Director",165000
Canada,"Director Of Marketing",165000
Canada,"Director Of Policy",163000
Canada,"Director Of Customer Success Management",160000
Canada,"Director Of Software Programs",160000
Canada,"Enterprise Risk Manager",160000
Canada,"Director Of Economics",160000
Canada,"Associate Lawyer",158000
Canada,"Associate Professor, Theatre",157604
Canada,"Regional Crown",157000
Canada,"Senior Technical Writer (Contract)",156000
Canada,"Associate Vice President Students",155000
Canada,Professor,155000
Canada,"Senior Software Architect",155000
Canada,"Director of  Marketing",155000
Canada,"Staff Software Developer",153000
Canada,"Senior Program Manager",153000
Canada,Manager,152000
Canada,"Software Engineer",150000
Canada,Owner/Operator,150000
Canada,"Director Of Mortgage Operations",150000
Canada,"Shift Control Technician",150000
Canada,"Associate - Labour & Employment",150000
Canada,"Senior Marketing Manager",150000
Canada,"Principal Counsel",150000
Canada,"Director Of Content Strategy",150000
Canada,"Software Developer",148000
Canada,"Vice President Commercial Banking",147500
Canada,"Finance Manager",146438
Canada,"Massage Therapist",145000
Canada,"IT Director",145000
Canada,Partner,144000
Canada,"Senior Manager, Software Development",144000
Canada,"General Manager",144000
Canada,"Data Scientist",143000
Canada,"Associate Professor Of Business",140000
Canada,"Director Of Business Development",140000
Canada,"Data Ops Lead",140000
Canada,"Senior Developer",140000
Canada,"Regional Sales Leader",140000
Canada,"Senior Researcher",140000
Canada,"Team Lead",140000
Canada,"Planning Team Lead",140000
Canada,"Vice President  HR",140000
Canada,"Software Development Engineer",138500
Canada,Economist,138000
Canada,"Engineering Supervisor",137000
Canada,"Deputy Director",136000
Canada,"Lead Engineer",135000
Canada,"Solution Architect",135000
Canada,"Senior Security Engineer",135000
Canada,"Administrative Justice",135000
Canada,"Engineering Director",135000
Canada,"Chief Of Staff",135000
Canada,"Director Of Strategic Research",135000
Canada,Superintendent,135000
Canada,"Director of Clinical Operations",134000
Canada,"Assistant Research Engineer",133000
Canada,"Library Department Head",132500
Canada,"Senior Software Developer",132500
Canada,"Director of Federal Real Property Policy",132100
Canada,"Director Strategy And Government Relations",132000
Canada,"Director of Development",132000
Canada,"Senior Front End Developer",131000
Canada,Counsel,130000
Canada,"Digital Product Manager",130000
Canada,"Communication Specialist",130000
Canada,"Tech Lead",130000
Canada,"Director Of Finance",130000
Canada,"Associate Professor",130000
Canada,"Extern Coordinator",130000
Canada,"Business Development Manager",130000
Canada,"Senior Programmer",130000
Canada,"Senior Associate",130000
Canada,"Senior Business Analyst",130000
Canada,Controller,130000
Canada,"Senior Scientist",130000
Canada,"Senior In-House Counsel",129000
Canada,"Product Researcher",128000
Canada,"Senior Production Engineer",128000
Canada,"Project Estimator / Senior Mining Engineer",127000
Canada,"Character Artist",127000
Canada,"Assistant Deputy Minister",126300
Canada,"Senior Product Manager",126000
Canada,"Senior Sitecore Software Developer",126000
Canada,"Hospital Vice President",126000
Canada,"Vice President, Client Services",126000
Canada,"Account Executive",125000
Canada,"Senior Civil Engineer",125000
Canada,"Senior Frontend Developer",125000
Canada,"User Experience(UX) Consultant",125000
Canada,"Senior Engineer",125000
Canada,"National Director Of Science",125000
Canada,"Product Manager",125000
Canada,"Health And Safety Advisor",125000
Canada,"Environmental Technical Analyst",124800
Canada,"Senior Manager, Technical Program Management",124225
Canada,"Senior Technical Writer",124000
Canada,"Assistant Professor",124000
Canada,"Director Of Customer Success",123600
Canada,"Site Reliability Engineer",123000
Canada,"Electrical Engineer",121000
Canada,"Technical Marketing Specialist",121000
Canada,"Software Engineer III",121000
Canada,"Brand Manager",120500
Canada,"Analytics Manager",120000
Canada,"Engineering Specialist",120000
Canada,"President - Machine Safety Consultant",120000
Canada,"Software Developer - Team Lead",120000
Canada,"Associate Strategy Director",120000
Canada,"Director, Content And Operations",120000
Canada,"Project Director",120000
Canada,"Director of Project Management Office",120000
Canada,"Director Of Claims",120000
Canada,"Manager, [Department Name]",120000
Canada,"Facility Manager",120000
Canada,"Instructor, University Studies",120000
Canada,"iOS Developer",120000
Canada,"Senior Tax Manager",120000
Canada,"Communications Lead",120000
Canada,"Assistant Service Manager",120000
Canada,"Staff Engineer",120000
Canada,"Hydro Electric Operating Supervisor",120000
Canada,"Software Architect",120000
Canada,"Research Director",120000
Canada,"Senior Manager, Planning",120000
Canada,"Senior Manager Customer Support",120000
Canada,"Regulatory Toxicologist",119915
Canada,"Senior Scientific Evaluator",119915
Canada,"Senior Economist",119000
Canada,"Lawyer / Public Servant",118000
Canada,"Director of Advancement Services",118000
Canada,"Senior Policy Analyst",118000
Canada,"Manager, Cash Management",118000
Canada,"Information Security Advisor",117800
Canada,"Manager Of Business Development",117600
Canada,"Head Of Partnerships",117000
Canada,"Learning And Development Manager",117000
Canada,"Sales Manager",117000
Canada,"System Software Engineer",116000
Canada,"Director Of Information Systems",115000
Canada,"Senior Communications Manager",115000
Canada,"Director Of Engineering",115000
Canada,"Operations Manager",115000
Canada,"Senior Manager",115000
Canada,"Manager, Communications",114592
Canada,"Policy Advisor",114400
Canada,"Game Developer",113000
Canada,"Risk Assessor",113000
Canada,"Writer (Video Games)",112800
Canada,"Analytics Specialist",112500
Canada,"Project Engineer",112320
Canada,"Corporate And Strategic Planner",112000
Canada,"Scientific Director",112000
Canada,"Data Librarian",112000
Canada,"Senior Manager Network",111100
Canada,"Registered Nurse",111000
Canada,"Senior Manager, Learning & Development",110000
Canada,"Reservoir Engineer",110000
Canada,"Protection And Control Technician",110000
Canada,"Branch Manager",110000
Canada,Analyst,110000
Canada,"Senior Financial Systems Analyst",110000
Canada,"Manager, International  (Student) Recruitment",110000
Canada,"Senior Product Designer",110000
Canada,"Library Director",110000
Canada,"Medical Science Liaison",110000
Canada,"Human Resources Manager",110000
Canada,"Freelance Videographer",110000
Canada,"Groundwater Manager",110000
Canada,"Assistant Director",110000
Canada,"Senior Developer Relations Manager",110000
Canada,"Civil Engineer",110000
Canada,"Communication Manager",110000
Canada,"Senior Site Reliability Engineer",110000
Canada,"User Experience(UX)  /Product Designer",110000
Canada,"Project Manager",110000
Canada,"Senior Manager, User Experience(UX) And Design",109000
Canada,"Operational Excellence Manager",109000
Canada,"Blending Engineer",109000
Canada,"Senior Web Application Developer",109000
Canada,"Strategic Investment Planner",109000
Canada,"Manager Of Communications",109000
Canada,"Director Of Research And Strategy",108000
Canada,"Nursing Care Manager",108000
Canada,"Manager Indigenous Services",108000
Canada,"Senior Analyst",108000
Canada,"Supervisor, Application Support",108000
Canada,"Clinical Supervisor",108000
Canada,"Communications & Marketing Manager",108000
Canada,"Tax Manager",107000
Canada,"Associate Librarian",106469
Canada,"Geographic Information Systems(GIS)  Analyst",106000
Canada,"Team Lead, ETL Specialist",106000
Canada,"Associate Director of Marketing",106000
Canada,"Financial Risk Analyst",106000
Canada,"Senior Advisor, Decision Support",105500
Canada,"Digital Marketing Manager",105109
Canada,"Senior Evaluation Officer",105000
Canada,"Senior Product Owner",105000
Canada,Programmer,105000
Canada,"Director Of Operations",105000
Canada,"Lead Data Strategist",105000
Canada,"Software Developer / Customer Integrations",105000
Canada,Consultant,105000
Canada,"Integration Specialist",105000
Canada,"Senior Software Designer",105000
Canada,"Manager, Occupational Health And Safety",105000
Canada,"Computer Security Incident Responder",105000
Canada,"Manager, Digital Strategy",105000
Canada,"Strategic Data Manager",105000
Canada,"Senior Investigator",105000
Canada,"Customer Success Manager",105000
Canada,"Front End Developer",105000
Canada,"Technical Operations Manager",104000
Canada,"Bookkeeper And Payroll Specialist",104000
Canada,"Digital Imaging Technician",104000
Canada,"Secondary School Teacher",103271
Canada,"Technical Supervisor",103000
Canada,"Manager, Growth",103000
Canada,"Technical Support Trainer",102000
Canada,"Senior IT Analyst",102000
Canada,"Communications Team Lead",102000
Canada,"Chief Technology Officer",102000
Canada,Archivist,101250
Canada,"College Instructor",101000
Canada,"Engineering Program Coordinator",101000
Canada,"Facilities Manager",101000
Canada,Instructor,100000
Canada,"Film Post-Production Manager",100000
Canada,"Senior Art Director",100000
Canada,"Forensic Scientist",100000
Canada,"Mechatronics Engineer",100000
Canada,Pharmacist,100000
Canada,"Customer Solutions Manager",100000
Canada,"Consulting Engineer",100000
Canada,Faculty,100000
Canada,"Software Development Manager",100000
Canada,"In-House Counsel",100000
Canada,"Firmware Tester",100000
Canada,"Clinical Social Worker",100000
Canada,"Marketing Director",100000
Canada,"HR  Manager",100000
Canada,"Senior IT Advisor",100000
Canada,"HR  Business Partner",100000
Canada,"Senior Policy Advisor",100000
Canada,"Senior Data Manager",99750
Canada,"Change Manager",99100
Canada,"Associate Director, Application Support",99000
Canada,"Policy Analyst",98650
Canada,"Manager, Technology",98500
Canada,"Manager, Process Engineering",98500
Canada,"Senior Advisor",98000
Canada,"Education Manager",98000
Canada,NP-PHC,98000
Canada,"Curriculum Consultant/Teacher Leader",98000
Canada,"Business Analyst",98000
Canada,"Director Of People Operations",98000
Canada,"Program Manager",98000
Canada,"High School Teacher (Long Term Occasional)",97835
Canada,"Manager, Total Rewards",97500
Canada,"Archives Supervisor",97282
Canada,"Senior Manager, Marketing",97000
Canada,"IT Project Manager",97000
Canada,"Head Of People & Culture",97000
Canada,"Nicu Family Support Specialist",97000
Canada,"Assistant Principal",97000
Canada,"Senior Advisor, Communications",96500
Canada,Scientist,96000
Canada,"Senior Producer",96000
Canada,Biologist,96000
Canada,"Senior Info Security Consultant",96000
Canada,Accountant,96000
Canada,"Senior Manager, Communications",96000
Canada,Coordinator,96000
Canada,"Secondary Teacher",96000
Canada,"Medical Laboratory Technologist",96000
Canada,"Senior Learning Advisor",96000
Canada,"Senior Labour Relations Advisor",95860
Canada,"Manager, Legislation And Information Management",95253
Canada,"Teacher - Grade 6",95000
Canada,"Technical Group Leader",95000
Canada,"High School History Teacher",95000
Canada,"Associate Engineer",95000
