City,Industry,Average_Salary
"Canbridge, Uk",PHARMACEUTICALS,38800.0000
Cannock,"ENGINEERING OR MANUFACTURING",31594.0000
Canton,"AUTO MFG.",104000.0000
Canton,"ENGINEERING OR MANUFACTURING",75000.0000
Canton,"COMPUTING OR TECH",70960.0000
Canton,"EDUCATION (HIGHER EDUCATION)",65000.0000
Canton,"ACCOUNTING, BANKING & FINANCE",54333.3333
Canton,LAW,45000.0000
Canton,NONPROFITS,42500.0000
Canton,"PROPERTY OR CONSTRUCTION",38000.0000
Canyon,"COMPUTING OR TECH",75000.0000
"Cape Canaveral","ENGINEERING OR MANUFACTURING",91500.0000
"Cape Cod Region","OCEANOGRAPHY RESEARCH",45000.0000
"Cape Girardeau","ACCOUNTING, BANKING & FINANCE",52500.0000
"Cape Girardeau","EDUCATION (HIGHER EDUCATION)",43696.0000
"Cape Girardeau","COMPUTING OR TECH",39390.0000
"Cape Town","COMPUTING OR TECH",99000.0000
"Capital Region","PROPERTY OR CONSTRUCTION",135000.0000
Carbondale,"ENGINEERING OR MANUFACTURING",126000.0000
Carbondale,"PROPERTY OR CONSTRUCTION",84000.0000
Carbondale,"HEALTH CARE",46800.0000
Cardiff,"COMPUTING OR TECH",63500.0000
Cardiff,"GOVERNMENT AND PUBLIC ADMINISTRATION",50870.0000
Cardiff,"EDUCATION (HIGHER EDUCATION)",39500.0000
Cardiff,"ENGINEERING OR MANUFACTURING",38500.0000
Cardiff,"ACCOUNTING, BANKING & FINANCE",32500.0000
Cardiff,"BUSINESS OR CONSULTING",30500.0000
Cardiff,"TRANSPORT OR LOGISTICS",30300.0000
Cardiff,"HOSPITALITY & EVENTS",30276.5000
Cardiff,"RECRUITMENT OR HR",28000.0000
Cardiff,NONPROFITS,19671.0000
Cardington,"ACCOUNTING, BANKING & FINANCE",30000.0000
Carlinville,"EDUCATION (HIGHER EDUCATION)",45000.0000
Carlisle,"EDUCATION (HIGHER EDUCATION)",46000.0000
Carlisle,"ACCOUNTING, BANKING & FINANCE",19000.0000
Carlsbad,"COMPUTING OR TECH",112250.0000
Carlsbad,"BUSINESS OR CONSULTING",69000.0000
Carlsbad,"ACCOUNTING, BANKING & FINANCE",62400.0000
Carmarthen,"HEALTH CARE",31365.0000
Carmel,"GOVERNMENT &PUBLIC ADMINISTRATION",65000.0000
Carmel,"HOSPITALITY & EVENTS",59000.0000
"Carmel, Indiana","ENGINEERING OR MANUFACTURING",70000.0000
Carpinteria,MANUFACTURING,54538.0000
Carpinteria,"ACCOUNTING, BANKING & FINANCE",50000.0000
Carrollton,NONPROFITS,96000.0000
Carrollton,"EDUCATION (HIGHER EDUCATION)",55846.6667
Carrollton,"ENGINEERING OR MANUFACTURING",51000.0000
Carrollton,"HEALTH CARE",50060.0000
Carson,NONPROFITS,100000.0000
Carson,"EDUCATION (HIGHER EDUCATION)",72000.0000
"Carson City",LAW,99250.0000
"Carson City","GOVERNMENT  & PUBLIC ADMINISTRATION",79719.0000
"Carson City",NONPROFITS,75000.0000
"Carson City","GOVERNMENT AND PUBLIC ADMINISTRATION",67766.6667
"Carson City","MARKETING, ADVERTISING & PR",45000.0000
Cartersville,NONPROFITS,39000.0000
"Cartersville Ga","AUTO REPAIR",50000.0000
Cary,"HEALTH CARE",111000.0000
Cary,"COMPUTING OR TECH",97142.8571
Cary,"MARKETING, ADVERTISING & PR",95000.0000
Cary,"ACCOUNTING, BANKING & FINANCE",95000.0000
Cary,"MEDIA & DIGITAL",53500.0000
Cary,RETAIL,47736.0000
"Cary, Nc","HEALTH CARE",38000.0000
"Cary, Nc",RETAIL,31200.0000
Casper,"EDUCATION (PRIMARY/SECONDARY)",78000.0000
Casper,"MEDIA & DIGITAL",45000.0000
Castlegar,"UTILITIES & TELECOMMUNICATIONS",110000.0000
Caterham,INSURANCE,39140.0000
Catonsville,"EDUCATION (HIGHER EDUCATION)",37247.0000
Cda,INSURANCE,47000.0000
"Cedar Falls","EDUCATION (PRIMARY/SECONDARY)",50000.0000
"Cedar Grove, Nj","HEALTH CARE",64147.0000
"Cedar Rapids","COMPUTING OR TECH",131333.3333
"Cedar Rapids","GOVERNMENT AND PUBLIC ADMINISTRATION",105000.0000
"Cedar Rapids","INTERNAL COMMUNICATIONS",100800.0000
"Cedar Rapids","ENGINEERING OR MANUFACTURING",96500.0000
"Cedar Rapids",NONPROFITS,55500.0000
"Cedar Rapids","ACCOUNTING, BANKING & FINANCE",50614.0000
"Cedar Rapids","MEDIA & DIGITAL",43680.0000
"Cedar Rapids","HOSPITALITY & EVENTS",40040.0000
"Cedar Rapids",RETAIL,38000.0000
Cedarville,"COMPUTING OR TECH",160000.0000
Celina,"EDUCATION (PRIMARY/SECONDARY)",46000.0000
Centennial,"UTILITIES & TELECOMMUNICATIONS",62000.0000
Centennial,"PROPERTY OR CONSTRUCTION",60000.0000
Centennial,LAW,42800.0000
Center,RETAIL,32448.0000
Centerville,"ACCOUNTING, BANKING & FINANCE",38000.0000
"Central City","ACCOUNTING, BANKING & FINANCE",37900.0000
"Central Il","EDUCATION (HIGHER EDUCATION)",50000.0000
"Central Il","HEALTH CARE",49000.0000
"Central Illinois","ACCOUNTING, BANKING & FINANCE",115000.0000
"Central Iowa","EDUCATION (PRIMARY/SECONDARY)",49000.0000
"Central Kentucky","EDUCATION (HIGHER EDUCATION)",41470.0000
"Central Ky","PUBLIC LIBRARIES",62000.0000
"Central Maine","EDUCATION (HIGHER EDUCATION)",44000.0000
"Central Md","ACCOUNTING, BANKING & FINANCE",50000.0000
"Central Nj",NONPROFITS,93000.0000
"Central Nj","GOVERNMENT  & PUBLIC ADMINISTRATION",46758.0000
"Central Ny","EDUCATION (HIGHER EDUCATION)",59713.0000
"Central Ohio","MEDIA & DIGITAL",42000.0000
"Central Pa","ENGINEERING OR MANUFACTURING",61000.0000
"Central Pa",INSURANCE,53000.0000
"Central Pa",NONPROFITS,47500.0000
"Central Qld","ENGINEERING OR MANUFACTURING",110000.0000
"Central Valley","EDUCATION (HIGHER EDUCATION)",99000.0000
"Central Virginia",NONPROFITS,98000.0000
"Central Virginia","EDUCATION (HIGHER EDUCATION)",56000.0000
Centralia,"AGRICULTURE OR FORESTRY",72000.0000
Centreville,"COMPUTING OR TECH",72000.0000
Ceres,"UTILITIES & TELECOMMUNICATIONS",57550.0000
Cerritos,RESTAURANT,29120.0000
Cerritos,"FOOD SERVICE",29000.0000
Cfl,"GOVERNMENT AND PUBLIC ADMINISTRATION",48000.0000
Chambersburg,"EDUCATION (HIGHER EDUCATION)",1000.0000
Chamonix-Mont-Blanc,"COMPUTING OR TECH",74000.0000
Champaign,"PROPERTY OR CONSTRUCTION",105000.0000
Champaign,"ENGINEERING OR MANUFACTURING",100000.0000
Champaign,"COMPUTING OR TECH",82000.0000
Champaign,"HEALTH CARE",71000.0000
Champaign,"GOVERNMENT AND PUBLIC ADMINISTRATION",65160.0000
Champaign,"EDUCATION (HIGHER EDUCATION)",50315.5000
Champaign,"PUBLIC LIBRARIES",48963.0000
Champaign,INSURANCE,48500.0000
Champaign,"ACCOUNTING, BANKING & FINANCE",36075.0000
Champaign,"MARKETING, ADVERTISING & PR",25012.0000
"Champaign Area","AGRICULTURE OR FORESTRY",66000.0000
"Champaign Urbana","EDUCATION (HIGHER EDUCATION)",55000.0000
Champaign-Urbana,"EDUCATION (HIGHER EDUCATION)",53000.0000
"Champaign, Il","EDUCATION (HIGHER EDUCATION)",18500.0000
Chandler,"ENGINEERING OR MANUFACTURING",114500.0000
Chandler,"RECRUITMENT OR HR",98000.0000
Chandler,"COMPUTING OR TECH",71000.0000
Chandler,RETAIL,69500.0000
Chandler,"EDUCATION (HIGHER EDUCATION)",69355.0000
Chandler,"ACCOUNTING, BANKING & FINANCE",55000.0000
Chandler,"HEALTH CARE",37440.0000
Chanhassen,"ACCOUNTING, BANKING & FINANCE",93000.0000
Chanhassen,"COMPUTING OR TECH",85000.0000
Chanhassen,"MARKETING, ADVERTISING & PR",77250.0000
Chanhassen,"MEDIA & DIGITAL",72800.0000
Chantilly,"COMPUTING OR TECH",168500.0000
Chantilly,"GOVERNMENT  & PUBLIC ADMINISTRATION",120000.0000
Chantilly,"RECRUITMENT OR HR",116600.0000
Chantilly,SALES,103000.0000
Chantilly,"ENGINEERING OR MANUFACTURING",83500.0000
Chantilly,NONPROFITS,58650.0000
"Chantilly, Va",NONPROFITS,55000.0000
"Chapel Hill","UTILITIES & TELECOMMUNICATIONS",140000.0000
"Chapel Hill","COMPUTING OR TECH",121000.0000
"Chapel Hill","ENGINEERING OR MANUFACTURING",110000.0000
"Chapel Hill",NONPROFITS,74366.6667
"Chapel Hill","BUSINESS OR CONSULTING",72500.0000
"Chapel Hill","ACCOUNTING, BANKING & FINANCE",70025.0000
"Chapel Hill","MEDIA & DIGITAL",68900.0000
"Chapel Hill","EDUCATION (HIGHER EDUCATION)",63729.0833
"Chapel Hill","HEALTH CARE",63000.0000
"Chapel Hill",SALES,50003.0000
"Chapel Hill","CLINICAL TRIALS RESEARCH COORDINATION",44000.0000
"Charles Town","EDUCATION (HIGHER EDUCATION)",70000.0000
Charleston,"COMPUTING OR TECH",136000.0000
Charleston,"DEFENSE CONTRACTING",95000.0000
Charleston,"BUSINESS OR CONSULTING",94000.0000
Charleston,MANUFACTURING,77000.0000
Charleston,"ACCOUNTING, BANKING & FINANCE",74500.0000
Charleston,"ENGINEERING OR MANUFACTURING",70000.0000
Charleston,"GOVERNMENT AND PUBLIC ADMINISTRATION",67306.8000
Charleston,"GOVERNMENT & PUBLIC ADMINISTRATION",67000.0000
Charleston,INSURANCE,61500.0000
Charleston,"HOSPITALITY & EVENTS",56250.0000
Charleston,"PROPERTY OR CONSTRUCTION",52000.0000
Charleston,"MARKETING, ADVERTISING & PR",45000.0000
Charleston,"EDUCATION (PRIMARY/SECONDARY)",44750.0000
Charleston,"GOVERNMENT  & PUBLIC ADMINISTRATION",43560.0000
Charleston,"EDUCATION (HIGHER EDUCATION)",36800.0000
Charleston,"VETERINARY CARE",36000.0000
Charleston,PUBLISHING,35000.0000
Charleston,RETAIL,34017.5000
Charleston,NONPROFITS,27000.0000
"Charleston Area",NONPROFITS,65000.0000
Charlestown,"GROCERY DELIVERY",50000.0000
"Charlestown (Boston)","ENGINEERING OR MANUFACTURING",75000.0000
Charlotte,"AGRICULTURE OR FORESTRY",150000.0000
Charlotte,"USER EXPERIENCE DESIGN",140000.0000
Charlotte,"MEDIA & DIGITAL",109333.3333
Charlotte,"BUSINESS OR CONSULTING",106000.0000
Charlotte,"COMPUTING OR TECH",97638.6154
Charlotte,"PROPERTY OR CONSTRUCTION",94000.0000
Charlotte,RETAIL,93600.0000
Charlotte,"ACCOUNTING, BANKING & FINANCE",91153.3333
Charlotte,"RECRUITMENT OR HR",91000.0000
Charlotte,"I WORK IN THE FINANCE FUNCTION OF A LARGE GLOBAL CONGLOMERATE",90000.0000
Charlotte,"PRINT / MAIL",87000.0000
Charlotte,"MARKETING, ADVERTISING & PR",85300.0000
Charlotte,LAW,84116.6667
Charlotte,LIBRARY--PUBLIC,81916.0000
Charlotte,"HEALTH CARE",74261.2500
Charlotte,UNKNOWN,74000.0000
Charlotte,MANUFACTURING,72000.0000
Charlotte,"UTILITIES & TELECOMMUNICATIONS",71562.5000
Charlotte,"ENGINEERING OR MANUFACTURING",71125.0000
Charlotte,NONPROFITS,70400.0000
Charlotte,LIBRARY,69665.0000
Charlotte,"GOVERNMENT AND PUBLIC ADMINISTRATION",68833.3333
Charlotte,"EDUCATION (PRIMARY/SECONDARY)",68000.0000
Charlotte,INSURANCE,66520.0000
Charlotte,"EDUCATION (HIGHER EDUCATION)",66195.8750
Charlotte,"COMMERCIAL REAL ESTATE",64250.0000
Charlotte,"HOSPITALITY & EVENTS",59800.0000
Charlotte,"REAL ESTATE",40000.0000
Charlotte,"ART & DESIGN",32000.0000
"Charlotte Area","GOVERNMENT AND PUBLIC ADMINISTRATION",75000.0000
"Charlotte Metropolitan","MARKETING, ADVERTISING & PR",89000.0000
Charlottesville,SCIENCE/GOVERNMENT,110500.0000
Charlottesville,"COMPUTING OR TECH",103328.4000
Charlottesville,"RECRUITMENT OR HR",93000.0000
Charlottesville,"MARKETING, ADVERTISING & PR",83200.0000
Charlottesville,"ACCOUNTING, BANKING & FINANCE",82080.0000
Charlottesville,NONPROFITS,78000.0000
Charlottesville,"HEALTH CARE",74574.5000
Charlottesville,"ENGINEERING OR MANUFACTURING",67000.0000
Charlottesville,"EDUCATION (HIGHER EDUCATION)",57437.5000
Charlottesville,"UTILITIES & TELECOMMUNICATIONS",57000.0000
Charlottesville,"PROPERTY OR CONSTRUCTION",56000.0000
Charlottesville,SCIENCE,54000.0000
Charlottesville,"HOSPITALITY & EVENTS",50180.0000
Charlottesville,"EDUCATION (PRIMARY/SECONDARY)",47612.0000
Charlottesville,RESEARCH,43000.0000
Charlottesville,"BUSINESS OR CONSULTING",39000.0000
Charlottetown,"EDUCATION (HIGHER EDUCATION)",114000.0000
Charlottetown,"GOVERNMENT & PUBLIC ADMINISTRATION",102500.0000
Charlottetown,"HOSPITALITY & EVENTS",40000.0000
Charlton,"HEALTH CARE",85000.0000
Chaska,"ENGINEERING OR MANUFACTURING",117000.0000
Chatham,"PROPERTY OR CONSTRUCTION",60000.0000
Chatsworth,"CONSUMER GOODS",130000.0000
Chattanooga,"COMPUTING OR TECH",129245.0000
Chattanooga,"HEALTH CARE",93000.0000
Chattanooga,INSURANCE,83750.0000
Chattanooga,"UTILITIES & TELECOMMUNICATIONS",76887.5000
Chattanooga,LAW,73666.6667
Chattanooga,"ART & DESIGN",67000.0000
Chattanooga,"TRANSPORT OR LOGISTICS",66000.0000
Chattanooga,"ACCOUNTING, BANKING & FINANCE",55500.0000
Chattanooga,"MARKETING, ADVERTISING & PR",55000.0000
Chattanooga,"EDUCATION (PRIMARY/SECONDARY)",54000.0000
Chattanooga,NONPROFITS,40881.0000
Chattanooga,SALES,38000.0000
Chattanooga,"MEDIA & DIGITAL",35000.0000
Chehalis,"BUSINESS OR CONSULTING",105000.0000
Chelmsford,"ENGINEERING OR MANUFACTURING",96000.0000
Chelmsford,"SOCIAL WORK",90000.0000
Chelmsford,"EDUCATION (PRIMARY/SECONDARY)",74000.0000
Chelmsford,RETAIL,61000.0000
Chelmsford,INSURANCE,58500.0000
Chelmsford,"UTILITIES & TELECOMMUNICATIONS",50000.0000
Chelsea,"HOSPITALITY & EVENTS",135000.0000
Chelsea,NONPROFITS,49939.0000
Cheltenham,"EDUCATION (HIGHER EDUCATION)",61000.0000
Cheltenham,"COMPUTING OR TECH",38300.0000
Chemnitz,JOURNALISM,30000.0000
Chennai,"EDUCATION (PRIMARY/SECONDARY)",60000.0000
Cheraw,"ENGINEERING OR MANUFACTURING",44930.0000
"Cherry Hill",UNKNOWN,140000.0000
"Cherry Hill","ACCOUNTING, BANKING & FINANCE",130500.0000
"Cherry Hill",SALES,76000.0000
"Cherry Hill","RECRUITMENT OR HR",70000.0000
"Cherry Hill",NONPROFITS,65000.0000
"Cherry Hill",LIBRARIES,51300.0000
"Cherry Hill","EDUCATION (PRIMARY/SECONDARY)",44800.0000
"Cherry Hill",RETAIL,40000.0000
"Cherry Hill, Nj","COMPUTING OR TECH",60000.0000
Chesapeake,"HEALTH CARE",135000.0000
Chesapeake,"GOVERNMENT CONTRACTING",123000.0000
Chesapeake,LAW,110000.0000
Chesapeake,"GOVERNMENT AND PUBLIC ADMINISTRATION",51500.0000
Chesapeake,RETAIL,21000.0000
Cheshire,"HEALTH CARE",85000.0000
Cheshire,"ENGINEERING OR MANUFACTURING",74200.0000
Cheshire,LAW,26500.0000
"Cheshire County","EDUCATION (PRIMARY/SECONDARY)",52000.0000
Chester,"ENGINEERING OR MANUFACTURING",125000.0000
Chester,NONPROFITS,92000.0000
Chester,"CHEMICAL MANUFACTURING",47902.0000
Chester,"EDUCATION (PRIMARY/SECONDARY)",47000.0000
Chester,"HEALTH CARE",45000.0000
Chester,"EDUCATION (HIGHER EDUCATION)",42000.0000
"Chester County","ACCOUNTING, BANKING & FINANCE",133000.0000
"Chester Springs, Pa","HEALTH CARE",136000.0000
Chesterbrook,"COMPUTING OR TECH",69000.0000
Chesterfield,RETAIL,75660.0000
Chesterfield,"HEALTH CARE",50336.0000
Chesterfield,"PUBLIC LIBRARIES",47000.0000
Chesterfield,"EDUCATION (PRIMARY/SECONDARY)",32448.0000
Chesterfield,NONPROFITS,27640.0000
"Chesterfield, Mi",RETAIL,33280.0000
Chestertown,"EDUCATION (HIGHER EDUCATION)",43860.0000
"Chestnut Hill","EDUCATION (PRIMARY/SECONDARY)",97000.0000
"Chestnut Hill","EDUCATION (HIGHER EDUCATION)",64000.0000
Cheswick,"ENGINEERING  OR MANUFACTURING",68000.0000
"Chevy Chase","COMPUTING OR TECH",175000.0000
"Chevy Chase",INSURANCE,82000.0000
Cheyenne,"EDUCATION (PRIMARY/SECONDARY)",90000.0000
Cheyenne,"PUBLIC LIBRARY",81000.0000
Cheyenne,"HEALTH CARE",45000.0000
"Cheyenne, Wy","STATE DOT",45000.0000
Chicacgo,"ART & DESIGN",40000.0000
Chicago,PHARMA,168000.0000
Chicago,"COMPUTING  OR TECH",120000.0000
Chicago,"PHARMACEUTICAL R&D",119000.0000
Chicago,"CONSUMER PRODUCT DESIGN",117000.0000
Chicago,"COMPUTING OR TECH",112692.4677
Chicago,COMPLIANCE,112000.0000
Chicago,AEROSPACE,107000.0000
Chicago,"COMMERCIAL REAL ESTATE",105000.0000
Chicago,"FOOD AND FLAVOR",104000.0000
Chicago,"HOSPITALITY & EVENTS",104000.0000
Chicago,"BUSINESS OR CONSULTING",103607.2222
Chicago,"PROFESSIONAL SERVICES",103300.0000
Chicago,"ENGINEERING OR MANUFACTURING",102411.7391
Chicago,"PROPERTY OR CONSTRUCTION",100305.0000
Chicago,"ACCOUNTING, BANKING & FINANCE",99778.1034
Chicago,"LEGAL SERVICES",98500.0000
Chicago,INSURANCE,98362.5625
Chicago,PUBLISHING,97000.0000
Chicago,"GOVERNMENT & PUBLIC ADMINISTRATION",94000.0000
Chicago,LAW,90755.5882
Chicago,"UTILITIES & TELECOMMUNICATIONS",90625.0000
Chicago,"HEALTH CARE",89770.3095
Chicago,SALES,88400.0000
Chicago,"MARKETING, ADVERTISING & PR",88055.8947
Chicago,ARCHITECTURE,86500.0000
Chicago,PURCHASING,86200.0000
Chicago,MANUFACTURING,84000.0000
Chicago,RETAIL,83099.0769
Chicago,"RECRUITMENT OR HR",82773.0769
Chicago,"GOVERNMENT AND PUBLIC ADMINISTRATION",80189.7619
Chicago,"EDUCATION (PRIMARY/SECONDARY)",79572.3077
Chicago,"ART & DESIGN",79362.1429
Chicago,"EDUCATION (HIGHER EDUCATION)",76702.2603
Chicago,ENTERTAINMENT,76000.0000
Chicago,"RENEWABLE ENERGY",75000.0000
Chicago,"BUSINESS  OR CONSULTING",75000.0000
Chicago,"MEDIA & DIGITAL",73838.3478
Chicago,EAP,73000.0000
Chicago,"GOVERNMENT  & PUBLIC ADMINISTRATION",72500.0000
Chicago,"TRANSPORT OR LOGISTICS",72492.6667
Chicago,"GAMING (GAMBLING)",72000.0000
Chicago,NONPROFITS,70766.1613
Chicago,"LABOR UNION",70000.0000
Chicago,UNKNOWN,69340.0000
Chicago,"CONSUMER PRODUCTS DESIGN",69000.0000
Chicago,"ASSOCIATION MANAGEMENT",68000.0000
Chicago,"RETAIL REAL ESTATE",67000.0000
Chicago,GAMBLING,66820.0000
Chicago,PHILANTHROPY,66500.0000
Chicago,POLITICS,64000.0000
Chicago,"REAL ESTATE VALUATION",62000.0000
Chicago,LIBRARIES,61000.0000
Chicago,"LEISURE, SPORT & TOURISM",59324.6667
Chicago,MINING,59000.0000
Chicago,MUSEUM,57150.0000
Chicago,"EDUCATIONAL RESEARCH",56000.0000
Chicago,"REAL ESTATE",55350.0000
Chicago,"AUCTION HOUSE",55000.0000
Chicago,"ACADEMIC MEDICINE",55000.0000
Chicago,"CUSTOMER SERVICE",55000.0000
Chicago,"MARKET RESEARCH",55000.0000
Chicago,"ARCHITECTURAL/LAND PLANNING/CIVIL ENGINEERING",53500.0000
Chicago,"SOCIAL WORK",50400.0000
Chicago,"RESEARCH  & DEVELOPMENT, FOOD  & BEVERAGE",50000.0000
Chicago,SECURITY,50000.0000
Chicago,"EDITOR IN EDUCATIONAL PUBLISHING",49000.0000
Chicago,LIBRARY,48900.0000
Chicago,"LABORATORY RESEARCH",48000.0000
Chicago,"SHARED OFFICE SPACE",48000.0000
Chicago,"PROPERTY  OR CONSTRUCTION",47050.0000
Chicago,"REAL ESTATE/ MORTGAGE",47008.0000
Chicago,"ACADEMIC PRESS PRODUCTION",42000.0000
Chicago,"SCHOOL DISTRICT PRE-K-12",40200.0000
Chicago,"VETERINARY CARE",37400.0000
Chicago,"SCIENTIFIC RESEARCH",34000.0000
"Chicago -Remote Position Though",INSURANCE,47500.0000
"Chicago (But Distributed Workplace)","MEDIA & DIGITAL",140000.0000
"Chicago (Remote)","COMPUTING OR TECH",110000.0000
"Chicago (Suburbs)","HEALTH CARE",95000.0000
"Chicago (Suburbs)",LIBRARY,69000.0000
"Chicago / Ft Remote","COMPUTING OR TECH",130000.0000
"Chicago Area","ENGINEERING OR MANUFACTURING",136843.0000
"Chicago Area","ENVIRONMENTAL/CULTURAL RESOURCE MANAGEMENT",48500.0000
"Chicago Area","GOVERNMENT & PUBLIC ADMINISTRATION",22000.0000
"Chicago Area","GOVERNMENT  & PUBLIC ADMINISTRATION",20500.0000
