Job_Title,"Total _Years_of _Professional_Experience",Total_Compensation
"Senior Software Engineer","11 - 20 years",15975015
Director,"11 - 20 years",13913674
"Software Engineer","5-7 years",11894057
"Software Engineer","2 - 4 years",11210756
"Software Engineer","11 - 20 years",10352850
"Software Engineer","8 - 10 years",9583417
"Project Manager","11 - 20 years",9123313
"Product Manager","11 - 20 years",8320181
"Program Manager","11 - 20 years",7755266
"Senior Software Engineer","8 - 10 years",7381833
Manager,"11 - 20 years",5931470
"Project Manager","8 - 10 years",5793802
"Vice President","11 - 20 years",5374600
"Senior Software Engineer","5-7 years",4995011
"Program Manager","8 - 10 years",4898894
"Senior Manager","11 - 20 years",4783700
"Product Manager","8 - 10 years",4495242
Teacher,"11 - 20 years",4459492
"Executive Assistant","11 - 20 years",4289657
"Engineering Manager","11 - 20 years",4265236
Director,"21 - 30 years",4255650
Attorney,"11 - 20 years",4244764
"Senior Software Engineer","21 - 30 years",4173743
Librarian,"11 - 20 years",4153406
Controller,"11 - 20 years",4073051
"Executive Director","11 - 20 years",3974600
"Executive Assistant","21 - 30 years",3879219
"Project Manager","5-7 years",3849014
"Software Developer","11 - 20 years",3787350
Director,"8 - 10 years",3742500
"Product Manager","5-7 years",3741970
"Assistant Professor","5-7 years",3734319
"Associate Director","11 - 20 years",3733771
"Operations Manager","11 - 20 years",3437816
"Project Manager","21 - 30 years",3422691
"Senior Project Manager","11 - 20 years",3197120
"Marketing Manager","11 - 20 years",3175250
Consultant,"11 - 20 years",3148700
"Data Scientist","5-7 years",3099680
"Assistant Professor","11 - 20 years",3090452
Manager,"8 - 10 years",3089675
"HR  Manager","11 - 20 years",3033298
"Marketing Manager","8 - 10 years",2986817
"Senior Product Manager","11 - 20 years",2949970
Attorney,"8 - 10 years",2945500
"Engineering Manager","8 - 10 years",2937085
Associate,"5-7 years",2918120
Analyst,"11 - 20 years",2797931
"Director Of Operations","11 - 20 years",2789700
"Assistant Director","11 - 20 years",2758350
"Associate Professor","11 - 20 years",2757867
"Senior Software Engineer","2 - 4 years",2755000
"Data Analyst","8 - 10 years",2735043
"Program Manager","5-7 years",2731825
"Senior Engineer","11 - 20 years",2718110
"Registered Nurse","11 - 20 years",2701960
"Data Scientist","2 - 4 years",2670950
"Data Analyst","5-7 years",2574650
Manager,"21 - 30 years",2558183
"Associate Attorney","5-7 years",2524490
"Senior Consultant","8 - 10 years",2510500
"Software Developer","5-7 years",2461131
"Senior Software Developer","11 - 20 years",2460037
"Account Manager","11 - 20 years",2446720
"Office Manager","11 - 20 years",2417024
"Software Developer","2 - 4 years",2396070
"Marketing Director","11 - 20 years",2387232
"Executive Director","21 - 30 years",2380096
"Senior Manager","8 - 10 years",2368500
"Lead Software Engineer","11 - 20 years",2301400
"HR  Director","11 - 20 years",2287000
"Software Engineer II","5-7 years",2279461
"Executive Assistant","8 - 10 years",2253623
"Principal Software Engineer","11 - 20 years",2240300
"Data Analyst","2 - 4 years",2234850
Associate,"2 - 4 years",2229970
Attorney,"5-7 years",2210280
Manager,"5-7 years",2189722
"Chief Of Staff","11 - 20 years",2182800
"Director Of Engineering","11 - 20 years",2140500
"Program Manager","21 - 30 years",2106650
"Nurse Practitioner","11 - 20 years",2100270
Teacher,"21 - 30 years",2098367
"Software Engineer","1 year or less",2072105
"Senior Consultant","11 - 20 years",2065350
Librarian,"21 - 30 years",2065042
"Software Engineer Ii","2 - 4 years",2053371
"Staff Software Engineer","11 - 20 years",2041200
"Associate Attorney","11 - 20 years",2017500
"Accounting Manager","11 - 20 years",2011580
"Administrative Assistant","11 - 20 years",1997929
"Director Of Marketing","11 - 20 years",1972263
Consultant,"5-7 years",1944445
Paralegal,"11 - 20 years",1940350
"Data Scientist","11 - 20 years",1940200
"Senior Director","11 - 20 years",1931000
"Project Manager","2 - 4 years",1930660
"Senior Manager","21 - 30 years",1923462
Teacher,"8 - 10 years",1910560
Librarian,"8 - 10 years",1907453
"Director Of Human Resources","11 - 20 years",1901700
"Marketing Manager","5-7 years",1900800
"Senior Analyst","5-7 years",1898220
Editor,"11 - 20 years",1897292
"Office Manager","21 - 30 years",1893294
"Senior Program Manager","11 - 20 years",1856899
"Software Engineer","21 - 30 years",1855750
"Program Director","11 - 20 years",1841249
Director,"5-7 years",1813758
"Senior Associate","5-7 years",1774959
"Business Analyst","11 - 20 years",1749200
"Software Engineering Manager","11 - 20 years",1749000
Consultant,"8 - 10 years",1744210
"Business Analyst","8 - 10 years",1742156
"Engineering Manager","21 - 30 years",1740023
Professor,"21 - 30 years",1719700
"Senior Data Scientist","5-7 years",1718500
Associate,"8 - 10 years",1709680
"Principal Software Engineer","21 - 30 years",1685854
"Business Analyst","5-7 years",1679065
Librarian,"5-7 years",1669700
"General Manager","11 - 20 years",1653965
"Senior Analyst","11 - 20 years",1653931
"Associate Director","8 - 10 years",1648838
"Director Of Development","11 - 20 years",1645700
"Data Analyst","11 - 20 years",1638300
"Principal Engineer","11 - 20 years",1636660
"Registered Nurse","21 - 30 years",1614565
Attorney,"21 - 30 years",1606126
"IT Manager","11 - 20 years",1588720
"Administrative Assistant","5-7 years",1585795
"HR  Manager","8 - 10 years",1579758
"Senior Associate","8 - 10 years",1575000
"Finance Manager","11 - 20 years",1569603
"Associate Attorney","8 - 10 years",1565400
"Software Developer","8 - 10 years",1561539
"Assistant Professor","8 - 10 years",1561535
"Mechanical Engineer","5-7 years",1548820
"Senior Editor","11 - 20 years",1547685
"Account Executive","11 - 20 years",1540300
"Senior User Experience (UX)  Designer","11 - 20 years",1515000
Analyst,"2 - 4 years",1497290
"Operations Manager","21 - 30 years",1490742
Teacher,"5-7 years",1483339
"Communication Manager","11 - 20 years",1479600
"Executive Assistant","5-7 years",1470640
"Registered Nurse","8 - 10 years",1445052
"Data Scientist","8 - 10 years",1439625
"Project Engineer","11 - 20 years",1436090
"Vice President","21 - 30 years",1432765
"Product Manager","2 - 4 years",1432000
Counsel,"11 - 20 years",1431330
"Executive Assistant","31 - 40 years",1429800
"Director Of It","21 - 30 years",1424600
"Operations Manager","8 - 10 years",1406095
"Technical Writer","11 - 20 years",1372000
"Senior Project Manager","8 - 10 years",1348200
"Operations Manager","5-7 years",1345695
Analyst,"5-7 years",1342600
"Staff Software Engineer","21 - 30 years",1341800
"Account Manager","8 - 10 years",1340500
"Senior Director","21 - 30 years",1334500
"Assistant Director","8 - 10 years",1332975
"Director Of Communications","11 - 20 years",1324355
"Senior Analyst","8 - 10 years",1319929
"Vice President","8 - 10 years",1315800
"CEO (Chief Executive Officer)","11 - 20 years",1309000
Supervisor,"11 - 20 years",1305311
"Graphic Designer","11 - 20 years",1289940
"Director Of HR","11 - 20 years",1269509
"Solutions Architect","11 - 20 years",1262000
"IT Manager","21 - 30 years",1260600
"HR  Manager","21 - 30 years",1257317
"Engineering Manager","5-7 years",1251970
"Associate Director","21 - 30 years",1244700
"Senior Project Manager","21 - 30 years",1244055
"Communications Director","11 - 20 years",1243740
"Senior Developer","11 - 20 years",1241800
"Software Development Manager","11 - 20 years",1236000
"Senior Program Manager","5-7 years",1233263
"Senior Business Systems Analyst","8 - 10 years",1233000
"Business Analyst","2 - 4 years",1229100
"Managing Director","11 - 20 years",1228520
"Program Manager","2 - 4 years",1227454
"Compliance Manager","11 - 20 years",1223520
"Senior Marketing Manager","11 - 20 years",1221600
"Account Manager","5-7 years",1220800
Consultant,"2 - 4 years",1220299
"HR  Generalist","11 - 20 years",1218430
"Financial Analyst","2 - 4 years",1217980
"Senior Program Manager","8 - 10 years",1211750
Partner,"11 - 20 years",1211200
"Senior Product Manager","8 - 10 years",1209695
Manager,"31 - 40 years",1205200
"Technical Writer","5-7 years",1204420
"Senior Marketing Manager","8 - 10 years",1204100
"HR  Director","21 - 30 years",1199450
"Program Coordinator","5-7 years",1188672
Professor,"11 - 20 years",1187000
Associate,"11 - 20 years",1184500
"Senior Associate","11 - 20 years",1181500
"Senior Software Developer","8 - 10 years",1181100
"Customer Success Manager","11 - 20 years",1178750
"Systems Engineer","11 - 20 years",1175200
"Customer Success Manager","5-7 years",1173025
"Software Developer","21 - 30 years",1164110
"Senior Scientist","11 - 20 years",1163700
"Associate Attorney","2 - 4 years",1151260
"Library Director","11 - 20 years",1145220
"Senior Program Manager","21 - 30 years",1142770
"Web Developer","11 - 20 years",1137250
"Principal Consultant","11 - 20 years",1137000
Editor,"8 - 10 years",1131500
"Director Of Human Resources","21 - 30 years",1127380
Scientist,"5-7 years",1126900
Engineer,"11 - 20 years",1126324
"Administrative Assistant","2 - 4 years",1124640
"Site Reliability Engineer","11 - 20 years",1120500
"Human Resources Manager","11 - 20 years",1117315
"Deputy Director","11 - 20 years",1117100
"Office Manager","8 - 10 years",1112442
Editor,"21 - 30 years",1110876
"Security Engineer","11 - 20 years",1107257
"Project Coordinator","5-7 years",1103868
"Senior Accountant","11 - 20 years",1100550
"Staff Attorney","5-7 years",1093645
"Process Engineer","5-7 years",1090054
"Senior Project Engineer","11 - 20 years",1086000
"Product Owner","11 - 20 years",1085045
"Research Scientist","5-7 years",1083532
"Development Director","11 - 20 years",1079500
"Director Of Operations","8 - 10 years",1077400
"Site Reliability Engineer","21 - 30 years",1072000
"Project Engineer","5-7 years",1063825
"Instructional Designer","11 - 20 years",1063671
"Software Architect","11 - 20 years",1062384
"Technical Writer","21 - 30 years",1059117
"Senior Project Manager","5-7 years",1056600
"Account Executive","5-7 years",1056000
"Associate Professor","21 - 30 years",1054579
"Senior Engineer","21 - 30 years",1050000
"Administrative Assistant","8 - 10 years",1043990
"Principal Engineer","21 - 30 years",1043598
"Process Engineer","2 - 4 years",1042100
Consultant,"21 - 30 years",1041161
"User Experience(UX)  Designer","2 - 4 years",1040000
"Staff Accountant","11 - 20 years",1036153
"Business Systems Analyst","11 - 20 years",1034524
"Program Coordinator","11 - 20 years",1031002
Paralegal,"8 - 10 years",1025111
"Senior Data Scientist","2 - 4 years",1025100
Analyst,"8 - 10 years",1021380
"Communication Manager","5-7 years",1021000
Attorney,"2 - 4 years",1016050
"CEO (Chief Executive Officer)","21 - 30 years",1011000
"Human Resources Manager","21 - 30 years",1009050
"Development Manager","11 - 20 years",1001698
"Senior Data Analyst","5-7 years",999000
"Senior Engineer","8 - 10 years",998500
"Senior Financial Analyst","8 - 10 years",996015
"Senior Business Analyst","11 - 20 years",979029
"Assistant Professor","2 - 4 years",978100
"Managing Editor","11 - 20 years",974040
Paralegal,"21 - 30 years",973769
"Solution Architect","11 - 20 years",973600
"Marketing Director","8 - 10 years",969500
Associate,"1 year or less",962000
Coordinator,"11 - 20 years",961436
Underwriter,"11 - 20 years",957400
"Senior Data Scientist","8 - 10 years",952000
"Staff Engineer","11 - 20 years",950666
"Senior Business Analyst","21 - 30 years",947850
"Staff Attorney","8 - 10 years",945291
"Library Director","21 - 30 years",944232
"Senior Product Designer","8 - 10 years",944000
"Senior Software Developer","21 - 30 years",942700
"Product Manager","21 - 30 years",935845
"Customer Success Manager","8 - 10 years",933550
"Business Development Manager","8 - 10 years",922000
"Senior Vice President","11 - 20 years",916000
"Senior Devops Engineer","11 - 20 years",912200
"Communication Manager","8 - 10 years",910522
"Program Analyst","11 - 20 years",910492
"Data Engineer","8 - 10 years",909690
"Accounting Manager","8 - 10 years",908550
"Technical Program Manager","11 - 20 years",903808
Partner,"21 - 30 years",901000
"Product Owner","8 - 10 years",892860
"IT Director","21 - 30 years",892325
"Director Of Development","8 - 10 years",892100
"Senior Counsel","11 - 20 years",890500
"Branch Manager","11 - 20 years",885717
"Senior Manager","5-7 years",885000
"Director Of Programs","11 - 20 years",884940
"Registered Nurse","5-7 years",875661
"Senior Editor","21 - 30 years",875200
"Policy Analyst","11 - 20 years",873790
"Senior Associate","2 - 4 years",872000
"Principal Software Engineer","8 - 10 years",871900
"Graphic Designer","8 - 10 years",867038
"Director Of Engineering","21 - 30 years",866000
"Product Marketing Manager","5-7 years",865900
"Research Associate","2 - 4 years",863711
"Special Education Teacher","11 - 20 years",859000
"Executive Director","8 - 10 years",855651
"Training Manager","11 - 20 years",849700
"Systems Engineer","2 - 4 years",849500
"Executive Assistant","2 - 4 years",846107
Architect,"11 - 20 years",842958
"DevOps Engineer","5-7 years",842352
"General Counsel","11 - 20 years",842000
"Software Architect","21 - 30 years",842000
Pharmacist,"5-7 years",841432
"HR  Business Partner","11 - 20 years",841062
Scientist,"8 - 10 years",840700
"Team Lead","8 - 10 years",839904
"Research Scientist","2 - 4 years",839053
"Assistant Vice President","11 - 20 years",833000
"Instructional Designer","8 - 10 years",830726
Analyst,"1 year or less",830700
"Materials Engineer","2 - 4 years",829000
"Senior Consultant","2 - 4 years",824693
Scientist,"2 - 4 years",818400
Coordinator,"8 - 10 years",818398
Lecturer,"11 - 20 years",816100
Accountant,"11 - 20 years",813650
"Finance Manager","8 - 10 years",813000
"Digital Marketing Manager","8 - 10 years",813000
Teacher,"2 - 4 years",811780
"Data Analyst","21 - 30 years",808937
"Social Media Manager","11 - 20 years",808240
"Account Director","11 - 20 years",807500
Accountant,"21 - 30 years",803000
Controller,"21 - 30 years",802360
"Research Manager","5-7 years",801800
"Associate General Counsel","11 - 20 years",801200
"Director of Technology","11 - 20 years",801000
"Graphic Designer","5-7 years",798550
"Administrative Assistant","21 - 30 years",796193
"Office Manager","5-7 years",794045
"Accounting Manager","21 - 30 years",791000
"Account Manager","2 - 4 years",789910
"Project Coordinator","8 - 10 years",786515
Instructor,"11 - 20 years",785758
"Senior Editor","8 - 10 years",785368
"Mechanical Engineer","2 - 4 years",780173
"Team Lead","11 - 20 years",779644
"High School Teacher","11 - 20 years",773595
"Vice President","5-7 years",772000
Manager,"2 - 4 years",768360
Analyst,"21 - 30 years",768000
"Human Resources Director","21 - 30 years",767000
Economist,"5-7 years",763970
"Production Manager","11 - 20 years",763000
"CTO (Chief Technology Officer)","11 - 20 years",761100
"COO (Chief Operating Officer)","11 - 20 years",761000
"Senior Developer","21 - 30 years",759700
"Research Scientist","8 - 10 years",753000
"Senior Technical Writer","21 - 30 years",752351
"Senior Financial Analyst","11 - 20 years",749080
"Senior Engineer","5-7 years",747000
"Project Coordinator","11 - 20 years",745265
"Senior Product Manager","5-7 years",741890
"Senior Business Analyst","8 - 10 years",741706
"Research Associate","5-7 years",740150
"HR  Manager","5-7 years",739200
"Senior Customer Success Manager","11 - 20 years",737439
"Associate Professor","8 - 10 years",735500
Owner,"11 - 20 years",735000
"Managing Editor","21 - 30 years",734018
"Technical Editor","11 - 20 years",733233
Paralegal,"5-7 years",732430
"Program Coordinator","2 - 4 years",732203
"Chief Of Staff","8 - 10 years",725400
"Web Developer","21 - 30 years",721000
"Engagement Manager","5-7 years",719000
"Sales Manager","21 - 30 years",718250
Lawyer,"2 - 4 years",718000
"Social Worker","8 - 10 years",716967
"Senior Account Manager","11 - 20 years",716500
"Site Reliability Engineer","5-7 years",716400
"Research Assistant","2 - 4 years",715746
Archivist,"8 - 10 years",715150
"Senior Product Designer","11 - 20 years",714980
"Legal Assistant","11 - 20 years",710240
"Senior Analyst","2 - 4 years",707873
"Lead Developer","11 - 20 years",707000
"Analytics Manager","5-7 years",703000
"Business Analyst","21 - 30 years",703000
"Senior Technical Writer","11 - 20 years",702741
Lawyer,"5-7 years",702500
Editor,"5-7 years",702452
"Civil Engineer","5-7 years",700277
"Human Resources Director","11 - 20 years",699400
Engineer,"8 - 10 years",698000
"Senior Director","8 - 10 years",694000
"HR  Generalist","8 - 10 years",693600
President,"11 - 20 years",692000
"Senior Corporate Counsel","11 - 20 years",687500
"Senior Financial Analyst","5-7 years",686450
"Communications Specialist","11 - 20 years",683300
"Research Scientist","11 - 20 years",683000
"Director of Analytics","11 - 20 years",681500
"HR  Business Partner","8 - 10 years",679738
"Lead Developer","21 - 30 years",677000
"Senior Software Engineer","31 - 40 years",675400
"Director Of Operations","21 - 30 years",674080
"Policy Analyst","2 - 4 years",673250
"Tax Manager","11 - 20 years",671900
"Marketing Coordinator","2 - 4 years",671616
"Finance Director","11 - 20 years",671000
"Systems Analyst","21 - 30 years",666200
"Program Director","8 - 10 years",665000
Paralegal,"2 - 4 years",664810
"Program Analyst","8 - 10 years",661883
"Production Manager","8 - 10 years",660721
"Senior Policy Analyst","11 - 20 years",660640
"Financial Analyst","5-7 years",660221
"Quality Engineer","11 - 20 years",657000
"Digital Marketing Manager","11 - 20 years",656466
"Marketing Strategy Manager","11 - 20 years",650000
"Quality Engineer","2 - 4 years",649254
"Creative Director","11 - 20 years",649000
"Data Engineer","5-7 years",644000
Developer,"11 - 20 years",639547
"Senior Financial Analyst","21 - 30 years",637901
"Marketing Director","21 - 30 years",637000
"Technical Writer","8 - 10 years",631112
"Senior Accountant","8 - 10 years",628867
"Financial Analyst","8 - 10 years",626709
"Communications Specialist","5-7 years",624117
"Senior Attorney","11 - 20 years",622800
"Electrical Engineer","2 - 4 years",620970
"HR  Generalist","5-7 years",619900
"CTO (Chief Technology Officer)","21 - 30 years",619000
"Pharmacy Manager","11 - 20 years",618747
Unknown,"11 - 20 years",618360
"Strategy Director","8 - 10 years",615000
"Compensation Manager","11 - 20 years",613500
"Chief Operating Officer","11 - 20 years",612500
"Senior Consultant","21 - 30 years",612500
"Development Manager","21 - 30 years",611400
"Senior Product Manager","21 - 30 years",611000
"Assistant Director","5-7 years",609735
Attorney,"31 - 40 years",608500
Partner,"8 - 10 years",607000
"Project Manager","31 - 40 years",605872
"Account Executive","8 - 10 years",603000
"Academic Advisor","5-7 years",602750
"School Psychologist","11 - 20 years",602718
"Office Administrator","11 - 20 years",602543
"Data Engineer","2 - 4 years",602200
"Business Development Manager","11 - 20 years",599200
"Human Resources Manager","8 - 10 years",598944
"Senior Systems Engineer","11 - 20 years",595869
"Analytics Manager","8 - 10 years",595600
"Senior Policy Advisor","5-7 years",593591
"Social Worker","11 - 20 years",593500
"Legal Assistant","5-7 years",592631
Archivist,"11 - 20 years",592105
"Software Development Manager","8 - 10 years",592000
"Technical Lead","11 - 20 years",591000
"General Manager","8 - 10 years",589200
"Director Of Product","11 - 20 years",588950
Recruiter,"2 - 4 years",588135
"Senior Executive Assistant","11 - 20 years",585172
"Director Of Communications","8 - 10 years",583800
"Director of HR","21 - 30 years",583450
"Principal Scientist","11 - 20 years",583000
"Director Of Sales","11 - 20 years",583000
Administrator,"11 - 20 years",582700
"Marketing Manager","2 - 4 years",582700
"Director of Marketing","21 - 30 years",582000
"Project Engineer","8 - 10 years",581600
"Associate Consultant","2 - 4 years",581000
"Systems Engineer","5-7 years",580014
Registrar,"11 - 20 years",579780
"Senior Executive Assistant","21 - 30 years",578000
"Content Manager","5-7 years",577500
"Art Director","11 - 20 years",575000
"Data Engineer","11 - 20 years",574000
"Social Media Manager","8 - 10 years",573000
"Senior Data Scientist","11 - 20 years",572550
"Principal Product Designer","11 - 20 years",572000
"Senior Finance Manager","11 - 20 years",571958
"Research Associate","11 - 20 years",570000
"Email Marketing Manager","11 - 20 years",569600
"Associate General Counsel","8 - 10 years",568685
"Creative Director","21 - 30 years",568632
"Policy Analyst","8 - 10 years",568052
"Deputy General Counsel","11 - 20 years",568000
"Systems Analyst","11 - 20 years",567900
"Software Engineer III","5-7 years",567000
"Data Scientist","21 - 30 years",566000
"Content Marketing Manager","11 - 20 years",565800
"DevOps Engineer","8 - 10 years",565300
"Engineering Manager","31 - 40 years",565000
"Store Manager","21 - 30 years",564628
"Email Marketing Manager","5-7 years",564500
"Database Administrator","11 - 20 years",563099
"Associate Attorney","1 year or less",563000
"Director of Customer Success","11 - 20 years",559000
"Software Engineer Ii","11 - 20 years",558750
Psychologist,"5-7 years",555500
"Senior Manager, Operations","11 - 20 years",554700
"Senior Engineering Manager","8 - 10 years",554000
"Customer Success Manager","2 - 4 years",550900
"Customer Service Manager","11 - 20 years",550635
"Senior Process Engineer","5-7 years",549160
"Program Coordinator","8 - 10 years",548765
"Case Manager","5-7 years",546260
"Lead Software Engineer","5-7 years",545139
"Academic Advisor","11 - 20 years",545000
"Staff Software Engineer","8 - 10 years",545000
"Assistant Controller","11 - 20 years",544560
"Team Lead","21 - 30 years",544282
"Senior Marketing Manager","21 - 30 years",544105
"Senior Consultant","5-7 years",543500
Professor,"31 - 40 years",543000
Economist,"11 - 20 years",542395
"Senior Data Analyst","11 - 20 years",541255
"Brand Manager","11 - 20 years",541000
"Senior Electrical Engineer","8 - 10 years",540500
"Vice President  Finance","8 - 10 years",540000
"Budget Analyst","11 - 20 years",539916
"Research Analyst","5-7 years",538780
